time,open,high,low,close,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
2026-02-03T18:15:00+08:00,49520,49526,49513,49518,49521.15542,,,,,,,49642.33005,49593.10286,49543.87566,49521.15542,49498.43517,49449.20798,49399.98078,0,0,0,0,,,51
2026-02-03T18:20:00+08:00,49517,49520,49511,49518,49520.2718,,,,,,,49641.235,49592.0937,49542.9524,49520.2718,49497.5912,49448.4499,49399.3086,0,0,0,0,,,45
2026-02-03T18:25:00+08:00,49512,49521,49511,49519,49519.66928,,,,,,,49640.37474,49591.33815,49542.30155,49519.66928,49497.037,49448.00041,49398.96381,0,0,0,0,,,42
2026-02-03T18:30:00+08:00,49516,49519,49511,49514,49518.77828,,,,,,,49639.15732,49590.25334,49541.34935,49518.77828,49496.20721,49447.30323,49398.39924,0,0,0,0,,,57
2026-02-03T18:35:00+08:00,49512,49512,49498,49500,49516.73762,,,,,,,49636.79715,49588.02296,49539.24878,49516.73762,49494.22645,49445.45227,49396.67808,0,0,0,0,,,93
2026-02-03T18:40:00+08:00,49501,49503,49496,49500,49514.8435,,,,,,,49634.50676,49585.89356,49537.28036,49514.8435,49492.40664,49443.79344,49395.18024,0,0,0,0,,,83
2026-02-03T18:45:00+08:00,49500,49502,49491,49491,49512.26415,,,,,,,49631.5091,49583.06584,49534.62258,49512.26415,49489.90572,49441.46246,49393.0192,0,0,0,0,,,32
2026-02-03T18:50:00+08:00,49492,49495,49489,49495,49510.17733,,,,,,,49628.92667,49580.68475,49532.44283,49510.17733,49487.91182,49439.6699,49391.42798,0,0,0,0,,,50
2026-02-03T18:55:00+08:00,49497,49498,49492,49494,49508.12107,,,,,,,49626.30245,49578.29126,49530.28008,49508.12107,49485.96206,49437.95087,49389.93969,0,0,0,0,,,40
2026-02-03T19:00:00+08:00,49495,49497,49468,49471,49504.12381,,,,,,,49621.95149,49574.084,49526.2165,49504.12381,49482.03112,49434.16362,49386.29612,0,0,0,0,,,157
2026-02-03T19:05:00+08:00,49473,49480,49469,49472,49500.40746,,,,,,,49617.87486,49570.15373,49522.4326,49500.40746,49478.38232,49430.66118,49382.94005,0,0,0,0,,,86
2026-02-03T19:10:00+08:00,49470,49489,49470,49487,49498.26553,,,,,,,49615.46569,49567.85313,49520.24056,49498.26553,49476.2905,49428.67794,49381.06538,0,0,0,0,,,92
2026-02-03T19:15:00+08:00,49486,49486,49470,49478,49495.53679,,,,,,,49612.52327,49564.99751,49517.47175,49495.53679,49473.60182,49426.07606,49378.5503,0,0,0,0,,,56
2026-02-03T19:20:00+08:00,49481,49495,49481,49491,49494.21749,,,,,,,49611.01854,49563.56812,49516.11769,49494.21749,49472.3173,49424.86687,49377.41645,0,0,0,0,,,58
2026-02-03T19:25:00+08:00,49488,49492,49483,49485,49492.5867,,,,,,,49609.16788,49561.80678,49514.44567,49492.5867,49470.72773,49423.36662,49376.00551,0,0,0,0,,,30
2026-02-03T19:30:00+08:00,49483,49483,49453,49466,49489.44147,,,,,,,49606.02107,49558.66061,49511.30014,49489.44147,49467.58279,49420.22233,49372.86187,0,0,0,0,,,595
2026-02-03T19:35:00+08:00,49468,49479,49466,49468,49486.71125,,,,,,,49603.29286,49555.93158,49508.5703,49486.71125,49464.8522,49417.49092,49370.12964,0,0,0,0,,,122
2026-02-03T19:40:00+08:00,49468,49484,49468,49482,49485.49458,,,,,,,49602.11377,49554.73722,49507.36068,49485.49458,49463.62848,49416.25193,49368.87539,0,0,0,0,,,113
2026-02-03T19:45:00+08:00,49484,49486,49471,49476,49483.95253,,,,,,,49600.62809,49553.22864,49505.8292,49483.95253,49462.07586,49414.67641,49367.27697,0,0,0,0,,,111
2026-02-03T19:50:00+08:00,49475,49475,49460,49465,49481.62993,,,,,,,49598.37273,49550.94597,49503.51921,49481.62993,49459.74066,49412.3139,49364.88714,0,0,0,0,,,86
2026-02-03T19:55:00+08:00,49467,49490,49467,49487,49481.49536,,,,,,,49598.41226,49550.91477,49503.41728,49481.49536,49459.57344,49412.07595,49364.57846,0,0,0,0,,,124
2026-02-03T20:00:00+08:00,49487,49497,49477,49477,49480.62547,,,,,,,49597.78021,49550.1861,49502.59198,49480.62547,49458.65895,49411.06484,49363.47073,0,0,0,0,,,183
2026-02-03T20:05:00+08:00,49478,49491,49475,49491,49481.18348,,,,,,,49598.58622,49550.89135,49503.19649,49481.18348,49459.17047,49411.47561,49363.78074,0,0,0,0,,,70
2026-02-03T20:10:00+08:00,49493,49508,49489,49507,49483.30388,,,,,,,49600.99466,49553.18278,49505.3709,49483.30388,49461.23685,49413.42497,49365.61309,0,0,0,0,,,105
2026-02-03T20:15:00+08:00,49507,49511,49495,49508,49485.55765,,,,,,,49603.53389,49555.60604,49507.6782,49485.55765,49463.43711,49415.50926,49367.58142,0,0,0,0,,,124
2026-02-03T20:20:00+08:00,49507,49514,49504,49509,49487.91945,,,,,,,49606.10539,49558.09235,49510.07931,49487.91945,49465.75958,49417.74655,49369.73351,0,0,0,0,,,68
2026-02-03T20:25:00+08:00,49509,49530,49509,49530,49492.16359,,,,,,,49610.61461,49562.49388,49514.37316,49492.16359,49469.95403,49421.83331,49373.71258,0,0,0,0,,,159
2026-02-03T20:30:00+08:00,49530,49545,49528,49536,49496.8617,,,,,,,49615.58127,49567.35144,49519.12162,49496.8617,49474.60178,49426.37195,49378.14212,0,0,0,0,,,124
2026-02-03T20:35:00+08:00,49537,49543,49530,49543,49502.02583,,,,,,,49620.9676,49572.64751,49524.32741,49502.02583,49479.72425,49431.40416,49383.08406,0,0,0,0,,,76
2026-02-03T20:40:00+08:00,49546,49550,49542,49549,49507.49512,,,,,,,49626.55133,49578.18474,49529.81816,49507.49512,49485.17208,49436.80549,49388.4389,0,0,0,0,,,62
2026-02-03T20:45:00+08:00,49547,49556,49544,49550,49512.7575,,,,,,,49631.87157,49583.48148,49535.09139,49512.7575,49490.42362,49442.03353,49393.64344,0,0,0,0,,,140
2026-02-03T20:50:00+08:00,49548,49550,49540,49545,49517.22209,,,,,,,49636.3149,49587.93344,49539.55199,49517.22209,49494.89219,49446.51073,49398.12928,0,0,0,0,,,100
2026-02-03T20:55:00+08:00,49547,49555,49536,49540,49520.83324,,,,,,,49639.94075,49591.55332,49543.1659,49520.83324,49498.50058,49450.11315,49401.72573,0,0,0,0,,,81
2026-02-03T21:00:00+08:00,49538,49538,49516,49523,49522.49675,,,,,,,49641.69325,49593.26967,49544.84609,49522.49675,49500.1474,49451.72382,49403.30024,0,0,0,0,,,383
2026-02-03T21:05:00+08:00,49521,49530,49512,49519,49523.39751,,,,,,,49642.71043,49594.23956,49545.76868,49523.39751,49501.02633,49452.55546,49404.08458,0,0,0,0,,,149
