time,open,high,low,close,Line4,si_dir,si_close,Kernel Estimate,Synthetic Renko Close,last_state_code,kern_reg,OPEN LONG,OPEN SHORT,Exit_Renko,Regime Flip → LONG,Regime Flip → SHORT,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
2026-02-24T11:06:00+08:00,24869.5,24873.5,24869.25,24869.25,24869.74207275798,1,87.1,24871.293877092,24870.1875,3,1,0,0,0,0,0,24871.141040256534,,,,,,,24886.856091742236,24880.47185207617,24874.087612410105,24871.141040256534,24868.194468102964,24861.810228436898,24855.425988770832,0,0,0,0,,,57
2026-02-24T11:06:15+08:00,24869.75,24870.25,24869.25,24870.25,24869.8450294768,1,87.235,24871.156056902146,24870.1875,3,1,0,0,0,0,0,24871.026182364123,,,,,,,24886.763889404676,24880.37044591945,24873.977002434225,24871.026182364123,24868.07536229402,24861.681918808797,24855.28847532357,0,0,0,0,,,6
2026-02-24T11:06:30+08:00,24870.25,24870.25,24869.75,24869.75,24869.944167846283,-1,87.215,24871.01427381548,24870.1875,3,1,0,0,0,0,0,24870.875798443943,,,,,,,24886.61613527486,24880.2216234373,24873.82711159974,24870.875798443943,24867.924485288146,24861.529973450586,24855.135461613027,0,0,0,0,,,2
2026-02-24T11:06:45+08:00,24870.25,24871,24870.25,24871,24870.039844514482,1,87.22,24870.96413631276,24870.1875,3,1,0,0,0,0,0,24870.846556001186,,,,,,,24886.572793489988,24880.18400951016,24873.795225530335,24870.846556001186,24867.897886472037,24861.50910249221,24855.120318512385,0,0,0,0,,,12
2026-02-24T11:07:00+08:00,24872,24872.25,24870.75,24871.75,24870.13387397885,1,87.24,24870.992742438128,24870.1875,3,1,0,0,0,0,0,24870.892820144785,,,,,,,24886.5982803618,24880.217937148638,24873.837593935477,24870.892820144785,24867.948046354093,24861.567703140932,24855.18735992777,0,0,0,0,,,16
2026-02-24T11:07:15+08:00,24871.25,24873.25,24871.25,24873.25,24870.22628344414,0,87.24,24871.130997699714,24872.6875,3,1,0,0,0,0,0,24871.084343094877,,,,,,,24886.76904824992,24880.397136780684,24874.02522531145,24871.084343094877,24868.143460878306,24861.77154940907,24855.399637939834,0,0,0,0,,,12
2026-02-24T11:07:30+08:00,24872,24874.5,24871.75,24874,24870.31753381202,1,87.25,24871.349416164376,24872.6875,3,1,0,0,0,0,0,24871.351941722056,,,,,,,24887.025400167284,24880.65805767391,24874.290715180538,24871.351941722056,24868.413168263574,24862.0458257702,24855.678483276828,0,0,0,0,,,14
2026-02-24T11:07:45+08:00,24874,24874.5,24873,24873.75,24870.407221091224,-1,87.2,24871.58566738239,24872.6875,3,1,0,0,0,0,0,24871.595853315004,,,,,,,24887.25303623465,24880.892305673544,24874.531575112436,24871.595853315004,24868.660131517572,24862.299400956465,24855.938670395357,0,0,0,0,,,6
2026-02-24T11:08:00+08:00,24872.5,24873,24872.5,24873,24870.494006156456,-1,87.14,24871.73554112895,24872.6875,3,1,0,0,0,0,0,24871.763157928228,,,,,,,24887.386980977688,24881.039802863845,24874.69262475,24871.763157928228,24868.833691106454,24862.48651299261,24856.139334878768,0,0,0,0,,,2
2026-02-24T11:08:15+08:00,24873.5,24873.5,24873,24873.25,24870.577682239105,-1,87.135,24871.913158772524,24872.6875,3,1,0,0,0,0,0,24871.945241187488,,,,,,,24887.519551991576,24881.192488227418,24874.865424463256,24871.945241187488,24869.02505791172,24862.69799414756,24856.3709303834,0,0,0,0,,,3
2026-02-24T11:08:30+08:00,24873,24873,24873,24873,24870.65682708634,0,87.135,24872.059181374345,24872.6875,3,1,0,0,0,0,0,24872.094659988517,,,,,,,24887.598207191855,24881.2998911405,24875.001575089143,24872.094659988517,24869.18774488789,24862.889428836534,24856.59111278518,0,0,0,0,,,1
2026-02-24T11:08:45+08:00,24871.5,24872.25,24871.5,24872.25,24870.73042546613,-1,86.94,24872.109170214902,24872.6875,3,1,0,0,0,0,0,24872.16386028047,,,,,,,24887.585364130082,24881.32037819118,24875.055392252274,24872.16386028047,24869.272328308667,24863.00734236976,24856.74235643086,0,0,0,0,,,3
2026-02-24T11:09:00+08:00,24872.5,24872.5,24871.75,24871.75,24870.801659003468,1,86.98,24872.13578102294,24872.6875,3,1,0,0,0,0,0,24872.17355220918,,,,,,,24887.50348734744,24881.275701197523,24875.047915047606,24872.17355220918,24869.299189370755,24863.071403220838,24856.84361707092,0,0,0,0,,,7
2026-02-24T11:09:15+08:00,24871.75,24872.25,24870.5,24870.5,24870.870165823304,1,87.045,24872.059409618338,24872.6875,3,1,0,0,0,0,0,24872.056380190734,,,,,,,24887.29842508044,24881.106344343996,24874.914263607552,24872.056380190734,24869.198496773915,24863.00641603747,24856.814335301027,0,0,0,0,,,7
2026-02-24T11:09:30+08:00,24871.5,24871.75,24871.5,24871.75,24870.93554191508,0,87.045,24872.04643203904,24872.6875,3,1,0,0,0,0,0,24872.04737373812,,,,,,,24887.186738419983,24881.036371517977,24874.88600461597,24872.04737373812,24869.20874286027,24863.058375958266,24856.90800905626,0,0,0,0,,,4
2026-02-24T11:09:45+08:00,24872.25,24872.25,24872.25,24872.25,24870.99881338804,0,87.045,24872.0787740263,24872.6875,3,1,0,0,0,0,0,24872.078661224128,,,,,,,24887.09977521302,24880.997447655034,24874.895120097044,24872.078661224128,24869.262202351212,24863.159874793222,24857.057547235236,0,0,0,0,,24874.25,5
2026-02-24T11:10:00+08:00,24873.5,24874.25,24873.5,24874.25,24871.063165999436,0,87.045,24872.27047074171,24873.9375,3,1,0,0,0,0,0,24872.284672883186,,,,,,,24887.182432792546,24881.13021782937,24875.07800286619,24872.284672883186,24869.491342900183,24863.439127937003,24857.386912973827,0,0,0,0,,,9
2026-02-24T11:10:15+08:00,24874,24874.75,24873.5,24873.5,24871.127709965058,-1,86.995,24872.433428158343,24873.9375,3,1,0,0,0,0,0,24872.417515280733,,,,,,,24887.194245582476,24881.191198897395,24875.18815221231,24872.417515280733,24869.646878349155,24863.64383166407,24857.64078497899,0,0,0,0,,,10
2026-02-24T11:10:30+08:00,24873.25,24873.5,24872.5,24873.25,24871.1889075152,-1,86.955,24872.52666432473,24873.9375,3,1,0,0,0,0,0,24872.52056418649,,,,,,,24887.17652825484,24881.222542852072,24875.268557449304,24872.52056418649,24869.772570923673,24863.818585520905,24857.864600118137,0,0,0,0,,,4
2026-02-24T11:10:45+08:00,24872.75,24873.5,24870,24870,24871.243846550635,-1,86.945,24872.403992118063,24871.4375,2,1,0,0,0,0,0,24872.31649487604,,,,,,,24886.88277423842,24880.965223247455,24875.047672256485,24872.31649487604,24869.585317495592,24863.667766504623,24857.750215513657,0,0,0,0,,,12
2026-02-24T11:11:00+08:00,24870.25,24872,24870.25,24870.75,24871.292116424083,1,86.95,24872.277978034257,24871.4375,2,1,0,0,0,0,0,24872.17315495595,,,,,,,24886.659169631545,24880.774226169586,24874.889282707627,24872.17315495595,24869.457027204277,24863.572083742318,24857.68714028036,0,0,0,0,,,8
2026-02-24T11:11:15+08:00,24870.5,24872,24870.5,24871,24871.33467315806,0,86.95,24872.16734011184,24871.4375,2,1,0,0,0,0,0,24872.053270263463,,,,,,,24886.465870154112,24880.610751448534,24874.75563274296,24872.053270263463,24869.350907783966,24863.49578907839,24857.640670372813,0,0,0,0,,,6
2026-02-24T11:11:30+08:00,24870.25,24870.25,24870.25,24870.25,24871.371298696053,-1,86.925,24871.978349419613,24871.4375,2,1,0,0,0,0,0,24871.868033561244,,,,,,,24886.195296937323,24880.37484619079,24874.55439544426,24871.868033561244,24869.18167167823,24863.3612209317,24857.540770185165,0,0,0,0,,,1
2026-02-24T11:11:45+08:00,24868.75,24868.75,24866.75,24866.75,24871.398007273652,0,86.925,24871.519941957933,24867.6875,0,1,0,0,0,0,0,24871.36982317167,,,,,,,24885.62367607009,24879.833048330103,24874.04242059012,24871.36982317167,24868.697225753218,24862.906598013236,24857.11597027325,0,0,0,0,,,11
2026-02-24T11:12:00+08:00,24868,24870.25,24868,24870.25,24871.421481435966,-1,86.875,24871.292814434408,24867.6875,0,1,0,0,0,0,0,24871.20068621029,,,,,,,24885.396143548835,24879.62923900505,24873.862334461268,24871.20068621029,24868.539037959312,24862.77213341553,24857.005228871745,0,0,0,0,,,12
2026-02-24T11:12:15+08:00,24870.25,24871.25,24870.25,24871,24871.444646579697,-1,86.86,24871.188671788386,24870.1875,2,1,0,0,0,0,0,24871.116179942448,,,,,,,24885.25239379784,24879.50955691909,24873.766720040334,24871.116179942448,24868.465639844562,24862.722802965807,24856.979966087056,0,0,0,0,,,3
2026-02-24T11:12:30+08:00,24870,24871.75,24870,24871.5,24871.467664592306,1,86.895,24871.12854911259,24870.1875,2,1,0,0,0,0,0,24871.093793265896,,,,,,,24885.178280740893,24879.456457704175,24873.734634667457,24871.093793265896,24868.452951864336,24862.731128827618,24857.0093057909,0,0,0,0,,,7
2026-02-24T11:12:45+08:00,24871.75,24871.75,24871.75,24871.75,24871.490715285872,1,86.91,24871.1330222002,24871.4375,2,1,0,0,0,0,0,24871.10764949525,,,,,,,24885.125797154928,24879.430924668184,24873.73605218144,24871.10764949525,24868.47924680906,24862.784374322317,24857.089501835573,0,0,0,0,,,1
2026-02-24T11:13:00+08:00,24871.75,24872.25,24871.5,24872.25,24871.514591253985,1,87.015,24871.17987189392,24871.4375,2,1,0,0,0,0,0,24871.178366874195,,,,,,,24885.125206252054,24879.4593027548,24873.793399257545,24871.178366874195,24868.563334490846,24862.89743099359,24857.231527496337,0,0,0,0,,,6
2026-02-24T11:13:15+08:00,24872,24872.5,24871.25,24871.25,24871.536412754795,1,87.115,24871.19226104839,24871.4375,2,1,0,0,0,0,0,24871.168588093482,,,,,,,24885.045243551736,24879.40785227182,24873.770460991906,24871.168588093482,24868.56671519506,24862.929323915145,24857.291932635228,0,0,0,0,,,5
2026-02-24T11:13:30+08:00,24871.25,24871.25,24870.5,24870.5,24871.55236895444,1,87.125,24871.132072886798,24871.4375,2,1,0,0,0,0,0,24871.096184281792,,,,,,,24884.89759535532,24879.290772106702,24873.68394885808,24871.096184281792,24868.508419705504,24862.901596456883,24857.294773208265,0,0,0,0,,,10
2026-02-24T11:13:45+08:00,24871.25,24871.25,24870.75,24870.75,24871.56339215429,0,87.125,24871.09492280347,24871.4375,2,1,0,0,0,0,0,24871.05195083857,,,,,,,24884.770051236286,24879.19707294971,24873.62409466314,24871.05195083857,24868.479807014,24862.906828727428,24857.333850440853,0,0,0,0,,,11
2026-02-24T11:14:00+08:00,24871.5,24871.75,24871.5,24871.75,24871.571948269066,-1,87.09,24871.136458921614,24871.4375,2,1,0,0,0,0,0,24871.10260608738,,,,,,,24884.7265993053,24879.19185206052,24873.657104815742,24871.10260608738,24868.54810735902,24863.01336011424,24857.47861286946,0,0,0,0,,,4
2026-02-24T11:14:15+08:00,24872,24872.5,24872,24872.5,24871.57932717841,-1,87.07,24871.244199476605,24871.4375,2,1,0,0,0,0,0,24871.22499758303,,,,,,,24884.747629750887,24879.254060432693,24873.760491114503,24871.22499758303,24868.68950405156,24863.19593473337,24857.702365415174,0,0,0,0,,24873.5,4
2026-02-24T11:14:30+08:00,24873,24874,24873,24873.5,24871.587162305677,1,87.105,24871.45635878579,24872.6875,3,1,0,0,0,0,0,24871.44058457134,,,,,,,24884.861618573188,24879.409323509935,24873.957028446686,24871.44058457134,24868.924140695995,24863.471845632746,24858.019550569494,0,0,0,0,,,9
2026-02-24T11:14:45+08:00,24873.5,24874.5,24873.5,24873.5,24871.597197597814,0,87.105,24871.690858870832,24872.6875,3,1,0,0,0,0,0,24871.65502961195,,,,,,,24884.974990742176,24879.56375653302,24874.152522323868,24871.65502961195,24869.15753690003,24863.746302690877,24858.335068481723,0,0,0,0,,,12
2026-02-24T11:15:00+08:00,24872.5,24872.5,24870.5,24871.25,24871.607740673,0,87.105,24871.702397645786,24872.6875,3,1,0,0,0,0,0,24871.65781283272,,,,,,,24884.88989344382,24879.51436069556,24874.138827947303,24871.65781283272,24869.176797718137,24863.80126496988,24858.42573222162,0,0,0,0,,,14
2026-02-24T11:15:15+08:00,24872,24872,24871.25,24871.25,24871.617975684,1,87.215,24871.71207893332,24872.6875,3,1,0,0,0,0,0,24871.6530675138,,,,,,,24884.795495494982,24879.456384127625,24874.11727276027,24871.6530675138,24869.188862267325,24863.84975089997,24858.510639532615,0,0,0,0,,,2
2026-02-24T11:15:30+08:00,24870.75,24871.25,24870,24871,24871.627682295242,0,87.215,24871.65820119684,24872.6875,3,1,0,0,0,0,0,24871.618999222326,,,,,,,24884.676200340135,24879.371712386026,24874.067224431914,24871.618999222326,24869.17077401274,24863.866286058626,24858.561798104518,0,0,0,0,,,12
2026-02-24T11:15:45+08:00,24870.25,24871.5,24870,24871.5,24871.637680807988,0,87.215,24871.626092598086,24872.6875,3,1,0,0,0,0,0,24871.624574384517,,,,,,,24884.604116681174,24879.331177623157,24874.05823856514,24871.624574384517,24869.190910203895,24863.91797114588,24858.64503208786,0,0,0,0,,,7
2026-02-24T11:16:00+08:00,24872,24872,24872,24872,24871.6481073937,-1,87.19,24871.669803367036,24872.6875,3,1,0,0,0,0,0,24871.67184577674,,,,,,,24884.56281178376,24879.325856843407,24874.088901903055,24871.67184577674,24869.254789650422,24864.01783471007,24858.780879769718,0,0,0,0,,,1
2026-02-24T11:16:15+08:00,24872.25,24872.25,24872.25,24872.25,24871.65811104971,-1,87.175,24871.73094169047,24872.6875,3,1,0,0,0,0,0,24871.735319761283,,,,,,,24884.527294763167,24879.33055491865,24874.133815074136,24871.735319761283,24869.33682444843,24864.140084603914,24858.9433447594,0,0,0,0,,,1
2026-02-24T11:16:30+08:00,24872.5,24873,24872.5,24873,24871.667547533445,0,87.175,24871.844457059382,24872.6875,3,1,0,0,0,0,0,24871.862171817524,,,,,,,24884.55119746375,24879.396280794972,24874.241364126192,24871.862171817524,24869.482979508855,24864.328062840075,24859.1731461713,0,0,0,0,,,3
2026-02-24T11:16:45+08:00,24872.5,24872.5,24871.75,24871.75,24871.6746127002,0,87.175,24871.866122454256,24872.6875,3,1,0,0,0,0,0,24871.86785713288,,,,,,,24884.453223378212,24879.340418341046,24874.22761330388,24871.86785713288,24869.508100961877,24864.39529592471,24859.282490887545,0,0,0,0,,,6
2026-02-24T11:17:00+08:00,24872,24873,24871.5,24872.25,24871.679794176718,1,87.265,24871.912761618725,24872.6875,3,1,0,0,0,0,0,24871.915755026435,,,,,,,24884.40613041452,24879.33191541311,24874.2577004117,24871.915755026435,24869.57380964117,24864.49959463976,24859.42537963835,0,0,0,0,,,10
2026-02-24T11:17:15+08:00,24873.25,24876.5,24872.75,24876.25,24871.687822733173,1,87.31,24872.247142197277,24875.1875,3,1,0,0,0,0,0,24872.324493429824,,,,,,,24884.756073490928,24879.705744091105,24874.655414691282,24872.324493429824,24869.993572168365,24864.943242768542,24859.89291336872,0,0,0,0,,,85
2026-02-24T11:17:30+08:00,24876,24877,24875.25,24875.25,24871.698656156583,1,87.335,24872.600890549125,24875.1875,3,1,0,0,0,0,0,24872.639041156566,,,,,,,24885.022593947386,24879.991775626113,24874.960957304844,24872.639041156566,24870.31712500829,24865.28630668702,24860.255488365747,0,0,0,0,,,47
2026-02-24T11:17:45+08:00,24875,24878.75,24875,24878.5,24871.715032501594,-1,87.33,24873.125570814045,24877.6875,2,1,0,0,0,0,0,24873.236369442122,,,,,,,24885.606704325095,24880.58125577889,24875.55580723268,24873.236369442122,24870.916931651565,24865.891483105355,24860.86603455915,0,0,0,0,,,189
2026-02-24T11:18:00+08:00,24879,24880,24875.5,24876.75,24871.737449945744,-1,87.295,24873.593189477546,24877.6875,2,1,0,0,0,0,0,24873.65571841594,,,,,,,24886.05541678952,24881.018039325252,24875.980661860987,24873.65571841594,24871.33077497089,24866.293397506626,24861.256020042358,0,0,0,0,,,43
2026-02-24T11:18:15+08:00,24876.25,24876.25,24874.25,24874.25,24871.76243498095,0,87.295,24873.81098466789,24875.1875,2,1,0,0,0,0,0,24873.823892741493,,,,,,,24886.26330815497,24881.209795643244,24876.15628313152,24873.823892741493,24871.491502351466,24866.437989839742,24861.384477328018,0,0,0,0,,,70
2026-02-24T11:18:30+08:00,24874.25,24875.25,24874.25,24874.5,24871.790750042976,-1,87.165,24873.99483814295,24875.1875,2,1,0,0,0,0,0,24873.99269530037,,,,,,,24886.467778817845,24881.39977613887,24876.331773459897,24873.99269530037,24871.653617140844,24866.58561446187,24861.517611782896,0,0,0,0,,,20
2026-02-24T11:18:45+08:00,24875,24876.75,24874.75,24874.75,24871.82265404629,-1,87.105,24874.205497948184,24875.1875,2,1,0,0,0,0,0,24874.15306140323,,,,,,,24886.670385127778,24881.58522236468,24876.50005960158,24874.15306140323,24871.80606320488,24866.720900441782,24861.635737678684,0,0,0,0,,,31
2026-02-24T11:19:00+08:00,24875.5,24875.75,24874.75,24875,24871.85729786726,1,87.155,24874.377444433587,24875.1875,2,1,0,0,0,0,0,24874.310616340343,,,,,,,24886.863297771066,24881.763770939833,24876.664244108604,24874.310616340343,24871.95698857208,24866.857461740852,24861.75793490962,0,0,0,0,,,7
2026-02-24T11:19:15+08:00,24874.75,24875.5,24873.5,24875,24871.891981609675,0,87.155,24874.49021652547,24875.1875,2,1,0,0,0,0,0,24874.44448231846,,,,,,,24887.036556706877,24881.921026486583,24876.805496266286,24874.44448231846,24872.083468370634,24866.967938150337,24861.852407930044,0,0,0,0,,,27
2026-02-24T11:19:30+08:00,24875.5,24876.75,24875.5,24876.5,24871.92882377413,0,87.155,24874.72210564614,24875.1875,2,1,0,0,0,0,0,24874.69360614859,,,,,,,24887.319257790645,24882.19008681106,24877.060915831476,24874.69360614859,24872.326296465704,24867.19712548612,24862.067954506536,0,0,0,0,,,14
2026-02-24T11:19:45+08:00,24876.25,24877.75,24876,24877.75,24871.970438560922,0,87.155,24875.02373757271,24875.1875,2,1,0,0,0,0,0,24875.03596697147,,,,,,,24887.6946421273,24882.552055345244,24877.40946856319,24875.03596697147,24872.66246537975,24867.519878597697,24862.377291815643,0,0,0,0,,,8
2026-02-24T11:20:00+08:00,24877.75,24877.75,24877,24877.5,24872.019455084504,1,87.255,24875.316321486545,24875.1875,2,1,0,0,0,0,0,24875.336091063567,,,,,,,24888.01450030108,24882.86389654834,24877.7132927956,24875.336091063567,24872.958889331534,24867.808285578794,24862.657681826055,0,0,0,0,,,5
2026-02-24T11:20:15+08:00,24877.5,24877.5,24876.5,24876.5,24872.07489985767,1,87.325,24875.525446392672,24875.1875,2,1,0,0,0,0,0,24875.523832964784,,,,,,,24888.211816936928,24883.057323448244,24877.90282995956,24875.523832964784,24873.144835970008,24867.990342481324,24862.83584899264,0,0,0,0,,,3
2026-02-24T11:20:30+08:00,24877,24881,24877,24879.75,24872.139276141213,1,87.395,24875.95163178389,24877.6875,3,1,0,0,0,0,0,24875.985327259703,,,,,,,24888.709483600374,24883.540295086976,24878.37110657358,24875.985327259703,24873.599547945825,24868.43035943243,24863.26117091903,0,0,0,0,,,53
2026-02-24T11:20:45+08:00,24880,24880.75,24879.5,24879.75,24872.21405564642,-1,87.275,24876.40508055869,24878.9375,2,1,0,0,0,0,0,24876.422191664224,,,,,,,24889.175307820493,24883.994354382008,24878.813400943523,24876.422191664224,24874.030982384924,24868.85002894644,24863.669075507954,0,0,0,0,,,12
2026-02-24T11:21:00+08:00,24880,24880.25,24878.5,24878.5,24872.301321716423,1,87.31,24876.74072874815,24878.9375,2,1,0,0,0,0,0,24876.717881855755,,,,,,,24889.49881741055,24884.306562341415,24879.11430727228,24876.717881855755,24874.32145643923,24869.129201370095,24863.93694630096,0,0,0,0,,,20
