time,open,high,low,close,Line4,si_dir,si_close,Kernel Estimate,Synthetic Renko Close,last_state_code,kern_reg,OPEN LONG,OPEN SHORT,Exit_Renko,Regime Flip → LONG,Regime Flip → SHORT,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
1770930900,24804.25,24813.5,24797.25,24809.5,24876.54641097356,1,75.125,24808.96600435539,24806.8125,1,-1,0,0,0,0,0,24810.390440147796,,,,,,,25112.321142746852,24989.661794815984,24867.00244688512,24810.390440147796,24753.778433410473,24631.119085479608,24508.45973754874,0,0,0,0,,,1545
1770931200,24809,24811.75,24801.75,24809.5,24874.817026604112,-1,75.06,24807.16259324239,24808.0625,0,-1,0,0,0,0,0,24808.71984336234,,,,,,,25109.82672048207,24987.50205165218,24865.17738282229,24808.71984336234,24752.262303902393,24629.937635072503,24507.612966242614,0,0,0,0,,,864
1770931500,24810.5,24823.25,24806.5,24823.25,24873.207689737254,1,75.075,24806.919288418285,24818.0625,1,-1,0,0,0,0,0,24808.824381435366,,,,,,,25108.888471347203,24986.98743482052,24865.086398293835,24808.824381435366,24752.562364576897,24630.661328050213,24508.76029152353,0,0,0,0,,,730
1770931800,24823.25,24832.25,24820,24829.25,24871.733433275997,1,75.25,24807.854692205983,24826.8125,1,-1,0,0,0,0,0,24809.824189201918,,,,,,,25108.587114423783,24987.214676052397,24865.842237681016,24809.824189201918,24753.80614072282,24632.433702351438,24511.061263980053,0,0,0,0,,,1064
1770932100,24830,24833.75,24822.25,24823.25,24870.380339176423,-1,75.095,24808.910831721598,24826.8125,1,-1,0,0,0,0,0,24810.56656590227,,,,,,,25107.78261738132,24987.038596467955,24866.29457555459,24810.56656590227,24754.83855624995,24634.094535336586,24513.350514423222,0,0,0,0,,,943
1770932400,24823.75,24830.25,24819.5,24823.75,24869.0981660177,-1,75,24810.11433926662,24824.3125,3,-1,0,0,0,0,0,24811.61302039025,,,,,,,25107.044271726325,24987.025325871044,24867.006380015766,24811.61302039025,24756.219660764735,24636.200714909457,24516.181769054176,0,0,0,0,,,895
1770932700,24824.25,24830.25,24817.75,24830,24867.84142027933,1,75.04,24811.675764953005,24826.8125,0,-1,0,0,0,0,0,24813.310888172207,,,,,,,25106.76672340491,24987.550290341627,24868.33385727834,24813.310888172207,24758.287919066075,24639.071486002787,24519.855052939503,0,0,0,0,,,733
1770933000,24830.25,24839.75,24829.25,24832,24866.60842881384,1,75.2,24813.83266404647,24833.0625,1,-1,0,0,0,0,0,24815.198626886926,,,,,,,25106.49010464788,24988.152941807493,24869.815778967106,24815.198626886926,24760.581474806746,24642.24431196636,24523.90714912597,0,0,0,0,,,698
1770933300,24832,24833.75,24819.25,24822,24865.366087317947,-1,75.01,24815.15422267698,24830.5625,0,-1,0,0,0,0,0,24816.171963657795,,,,,,,25105.1842342357,24987.772999313427,24870.361764391153,24816.171963657795,24761.982162924436,24644.570928002162,24527.159693079888,0,0,0,0,,,755
1770937200,24842.25,24844,24810,24818,24864.10821025718,-1,74.275,24816.236552849437,24823.0625,1,-1,0,0,0,0,0,24816.69649398596,,,,,,,25103.577035454342,24987.031815482813,24870.486595511284,24816.69649398596,24762.906392460638,24646.36117248911,24529.81595251758,0,0,0,0,,,1494
