time,open,high,low,close,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
1770930900,24804.25,24813.5,24797.25,24809.5,24810.39044,,,,,,,25112.32114,24989.66179,24867.00245,24810.39044,24753.77843,24631.11909,24508.45974,0,0,0,0,,,1545
1770931200,24809,24811.75,24801.75,24809.5,24808.71984,,,,,,,25109.82672,24987.50205,24865.17738,24808.71984,24752.2623,24629.93764,24507.61297,0,0,0,0,,,864
1770931500,24810.5,24823.25,24806.5,24823.25,24808.82438,,,,,,,25108.88847,24986.98743,24865.0864,24808.82438,24752.56236,24630.66133,24508.76029,0,0,0,0,,,730
1770931800,24823.25,24832.25,24820,24829.25,24809.82419,,,,,,,25108.58711,24987.21468,24865.84224,24809.82419,24753.80614,24632.4337,24511.06126,0,0,0,0,,,1064
1770932100,24830,24833.75,24822.25,24823.25,24810.56657,,,,,,,25107.78262,24987.0386,24866.29458,24810.56657,24754.83856,24634.09454,24513.35051,0,0,0,0,,,943
1770932400,24823.75,24830.25,24819.5,24823.75,24811.61302,,,,,,,25107.04427,24987.02533,24867.00638,24811.61302,24756.21966,24636.20071,24516.18177,0,0,0,0,,,895
1770932700,24824.25,24830.25,24817.75,24830,24813.31089,,,,,,,25106.76672,24987.55029,24868.33386,24813.31089,24758.28792,24639.07149,24519.85505,0,0,0,0,,,733
1770933000,24830.25,24839.75,24829.25,24832,24815.19863,,,,,,,25106.4901,24988.15294,24869.81578,24815.19863,24760.58147,24642.24431,24523.90715,0,0,0,0,,,698
1770933300,24832,24833.75,24819.25,24822,24816.17196,,,,,,,25105.18423,24987.773,24870.36176,24816.17196,24761.98216,24644.57093,24527.15969,0,0,0,0,,,755
1770937200,24842.25,24844,24810,24818,24816.69649,,,,,,,25103.57704,24987.03182,24870.4866,24816.69649,24762.90639,24646.36117,24529.81595,0,0,0,0,,,1494
1770937500,24817,24844,24797.75,24841.5,24819.30917,,,,,,,25104.36783,24988.56275,24872.75767,24819.30917,24765.86068,24650.0556,24534.25052,0,0,0,0,,,1153
