time,open,high,low,close,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
2026-01-19T17:05:00+08:00,4669.4,4674.4,4669.4,4673.6,4672.027317,,,,,,,4708.292112,4693.559539,4678.826966,4672.027317,4665.227668,4650.495095,4635.762521,0,0,0,0,,,762
2026-01-19T17:10:00+08:00,4673.8,4676.3,4673.8,4675.7,4672.294963,,,,,,,4708.42574,4693.747612,4679.069483,4672.294963,4665.520442,4650.842314,4636.164185,0,0,0,0,,,673
2026-01-19T17:15:00+08:00,4675.6,4677.5,4675.1,4676,4672.604866,,,,,,,4708.589762,4693.970898,4679.352034,4672.604866,4665.857698,4651.238834,4636.61997,0,0,0,0,,,896
2026-01-19T17:20:00+08:00,4676.2,4677.5,4671.9,4672.3,4672.584701,,,,,,,4708.451267,4693.880475,4679.309682,4672.584701,4665.85972,4651.288928,4636.718136,0,0,0,0,,,887
2026-01-19T17:25:00+08:00,4672.5,4673.7,4670.8,4671.3,4672.482469,,,,,,,4708.224547,4693.704328,4679.184108,4672.482469,4665.780829,4651.26061,4636.740391,0,0,0,0,,,539
2026-01-19T17:30:00+08:00,4671.4,4674,4669.7,4673.9,4672.623569,,,,,,,4708.25234,4693.778152,4679.303963,4672.623569,4665.943174,4651.468986,4636.994797,0,0,0,0,,,712
2026-01-19T17:35:00+08:00,4673.9,4675.2,4672.5,4673.1,4672.687985,,,,,,,4708.195661,4693.770668,4679.345674,4672.687985,4666.030296,4651.605303,4637.180309,0,0,0,0,,,518
2026-01-19T17:40:00+08:00,4673.1,4674.6,4671.9,4674.1,4672.836571,,,,,,,4708.214991,4693.842508,4679.470025,4672.836571,4666.203118,4651.830634,4637.458151,0,0,0,0,,,413
2026-01-19T17:45:00+08:00,4674.3,4674.8,4673.6,4674.5,4673.016648,,,,,,,4708.239539,4693.930239,4679.62094,4673.016648,4666.412356,4652.103056,4637.793757,0,0,0,0,,,194
2026-01-19T17:50:00+08:00,4674.3,4674.7,4672.9,4673.8,4673.126785,,,,,,,4708.176203,4693.937377,4679.698551,4673.126785,4666.555019,4652.316193,4638.077366,0,0,0,0,,,254
2026-01-19T17:55:00+08:00,4673.8,4674,4671.8,4673.2,4673.175121,,,,,,,4708.038986,4693.875541,4679.712096,4673.175121,4666.638147,4652.474701,4638.311256,0,0,0,0,,,343
2026-01-19T18:00:00+08:00,4672.9,4673.5,4671.4,4672.1,4673.112255,,,,,,,4707.778172,4693.695143,4679.612115,4673.112255,4666.612396,4652.529368,4638.446339,0,0,0,0,,,348
2026-01-19T18:05:00+08:00,4672.2,4674.1,4672.1,4672.5,4673.078975,,,,,,,4707.534775,4693.537106,4679.539438,4673.078975,4666.618513,4652.620844,4638.623175,0,0,0,0,,,265
2026-01-19T18:10:00+08:00,4672.5,4675.2,4671.6,4675.2,4673.284499,,,,,,,4707.538618,4693.622882,4679.707146,4673.284499,4666.861852,4652.946116,4639.03038,0,0,0,0,,,307
2026-01-19T18:15:00+08:00,4675.1,4676,4671.8,4672.4,4673.223348,,,,,,,4707.29228,4693.451777,4679.611273,4673.223348,4666.835423,4652.994919,4639.154416,0,0,0,0,,,358
2026-01-19T18:20:00+08:00,4672.2,4674,4671,4673.1,4673.219317,,,,,,,4707.105923,4693.33949,4679.573056,4673.219317,4666.865579,4653.099145,4639.332712,0,0,0,0,,,564
2026-01-19T18:25:00+08:00,4673,4673.6,4670.5,4670.9,4673.013189,,,,,,,4706.722072,4693.027838,4679.333604,4673.013189,4666.692773,4652.998539,4639.304305,0,0,0,0,,,354
2026-01-19T18:30:00+08:00,4670.6,4671.7,4669,4671.6,4672.872324,,,,,,,4706.404018,4692.781767,4679.159517,4672.872324,4666.585132,4652.962881,4639.340631,0,0,0,0,,,932
2026-01-19T18:35:00+08:00,4671.4,4672.2,4669.5,4669.9,4672.575464,,,,,,,4705.930547,4692.380044,4678.829542,4672.575464,4666.321386,4652.770883,4639.220381,0,0,0,0,,,378
2026-01-19T18:40:00+08:00,4669.9,4670,4666.1,4666.5,4671.97573,,,,,,,4705.169638,4691.684613,4678.199588,4671.97573,4665.751872,4652.266848,4638.781823,0,0,0,0,,,775
2026-01-19T18:45:00+08:00,4666.5,4671.5,4666.4,4670.5,4671.754192,,,,,,,4704.816767,4691.385096,4677.953425,4671.754192,4665.554959,4652.123288,4638.691617,0,0,0,0,,,678
2026-01-19T18:50:00+08:00,4670.6,4672,4669.5,4671.4,4671.634067,,,,,,,4704.562745,4691.185469,4677.808194,4671.634067,4665.45994,4652.082665,4638.70539,0,0,0,0,,,369
2026-01-19T18:55:00+08:00,4671.5,4671.9,4668.2,4668.6,4671.279961,,,,,,,4704.08614,4690.75863,4677.43112,4671.279961,4665.128803,4651.801292,4638.473782,0,0,0,0,,,433
2026-01-19T19:00:00+08:00,4668.8,4669.5,4666.7,4668.8,4670.9671,,,,,,,4703.650393,4690.372805,4677.095217,4670.9671,4664.838982,4651.561394,4638.283806,0,0,0,0,,,503
2026-01-19T19:05:00+08:00,4668.4,4670.3,4667.6,4669.2,4670.717553,,,,,,,4703.275692,4690.048948,4676.822204,4670.717553,4664.612902,4651.386159,4638.159415,0,0,0,0,,,473
2026-01-19T19:10:00+08:00,4669.3,4671.5,4669.1,4669.1,4670.483127,,,,,,,4702.910131,4689.73666,4676.56319,4670.483127,4664.403064,4651.229594,4638.056123,0,0,0,0,,,519
2026-01-19T19:15:00+08:00,4669.3,4669.6,4666.5,4667.2,4670.098853,,,,,,,4702.396756,4689.275733,4676.15471,4670.098853,4664.042996,4650.921973,4637.80095,0,0,0,0,,,450
2026-01-19T19:20:00+08:00,4667.4,4668.8,4667.4,4668.5,4669.853733,,,,,,,4702.003666,4688.942756,4675.881846,4669.853733,4663.825621,4650.764711,4637.703801,0,0,0,0,,,306
