stream,trade_id,side,entry_time,exit_time,entry_bar_i,exit_bar_i,entry_px,exit_px,pnl,bars_held,kern_dist_sig,state_sig
LOR,1,SHORT,617,631,617,631,5180.775,5180.375,0.4,14,1.80071,3
LOR,2,LONG,631,635,631,635,5180.375,5180.075,-0.3,4,0.8723,3
LOR,3,SHORT,635,638,635,638,5180.075,5182.45,-2.375,3,2.13787,3
LOR,4,LONG,638,665,638,665,5182.45,5181.625,-0.825,27,1.81324,1
LOR,5,SHORT,665,687,665,687,5181.625,5182.375,-0.75,22,1.63207,2
LOR,6,LONG,687,712,687,712,5182.375,5180.275,-2.1,25,1.02106,2
LOR,7,SHORT,712,746,712,746,5180.275,5179.275,1,34,1.49777,2
LOR,8,LONG,746,757,746,757,5179.275,5179.7,0.425,11,1.55639,2
LOR,9,SHORT,757,783,757,783,5179.7,5177.05,2.65,26,1.10598,2
LOR,10,LONG,783,787,783,787,5177.05,5175.8,-1.25,4,0.4161,3
LOR,11,SHORT,787,794,787,794,5175.8,5176.925,-1.125,7,1.45448,3
LOR,12,LONG,794,798,794,798,5176.925,5176.4,-0.525,4,0.92823,3
LOR,13,SHORT,798,801,798,801,5176.4,5178.2,-1.8,3,0.78842,0
LOR,14,LONG,801,814,801,814,5178.2,5177.4,-0.8,13,0.76113,0
LOR,15,SHORT,814,822,814,822,5177.4,5178.2,-0.8,8,1.13445,3
LOR,16,LONG,822,838,822,838,5178.2,5175.825,-2.375,16,0.99841,2
LOR,17,SHORT,838,849,838,849,5175.825,5177.4,-1.575,11,1.22457,0
LOR,18,LONG,849,877,849,877,5177.4,5178.675,1.275,28,1.04476,2
LOR,19,SHORT,877,888,877,888,5178.675,5180.025,-1.35,11,1.05452,3
LOR,20,LONG,888,937,888,937,5180.025,5179.625,-0.4,49,1.02478,3
LOR,21,SHORT,937,955,937,955,5179.625,5181.925,-2.3,18,1.55194,2
LOR,22,LONG,955,976,955,976,5181.925,5181.45,-0.475,21,0.87938,0
LOR,23,SHORT,976,980,976,980,5181.45,5182.85,-1.4,4,0.77436,2
LOR,24,LONG,980,984,980,984,5182.85,5180.15,-2.7,4,0.92026,2
LOR,25,SHORT,984,993,984,993,5180.15,5181.4,-1.25,9,1.19147,2
LOR,26,LONG,993,999,993,999,5181.4,5180.4,-1,6,0.343,3
