time,open,high,low,close,line4,si_dir,si_close,kernel estimate,synthetic renko close,last_state_code,kern_reg,open long,open short,exit_renko,regime flip → long,regime flip → short,kernel regression estimate,distance above kernel,distance below kernel,buy,sell,stopbuy,stopsell,upper envelope: far,upper envelope: average,upper envelope: near,envelope midline,lower envelope: near,lower envelope: average,lower envelope: far,chars,chars.1,chars.2,chars.3,shapes,shapes.1,volume,dt,dt_utc,close_all,state_code,state_label,kern_est,open_long,open_short,renko_syn_close,lor_flip_long,lor_flip_short,lor_buy_sig,lor_sell_sig,v_buy_sig,v_sell_sig,r_down,rs_down,r_up,rs_up,bar_i,lor_event,lor_trade_id,lor_pos,v_event,v_trade_id,v_pos
2026-02-23T09:45:15+08:00,5187.30000,5187.30000,5186.60000,5186.77500,5181.46697,1,87.41500,5186.87262,5187.32500,3,1,0,0,0,0,0,5186.86007,,,,,,,5195.88612,5192.21929,5188.55246,5186.86007,5185.16769,5181.50086,5177.83403,0,0,0,0,,,2,2026-02-23 09:45:15+08:00,2026-02-23 01:45:15+00:00,0,3,SLOW,5186.86007,0,0,5187.32500,0,0,0,0,0,0,1,1,1,1,0,,,0,,,0
2026-02-23T09:45:30+08:00,5186.00000,5186.70000,5186.00000,5186.52500,5181.61351,-1,87.35500,5186.89759,5186.82500,2,1,0,0,0,0,0,5186.89897,,,,,,,5195.89914,5192.24282,5188.58651,5186.89897,5185.21144,5181.55512,5177.89880,0,0,0,0,,,4,2026-02-23 09:45:30+08:00,2026-02-23 01:45:30+00:00,0,2,FAST,5186.89897,0,0,5186.82500,0,0,0,0,0,0,1,1,1,1,1,,,0,,,0
2026-02-23T09:45:45+08:00,5186.60000,5186.70000,5186.60000,5186.62500,5181.76195,1,87.36500,5186.91612,5186.82500,2,1,0,0,0,0,0,5186.91375,,,,,,,5195.87801,5192.23627,5188.59454,5186.91375,5185.23295,5181.59122,5177.94949,0,0,0,0,,,3,2026-02-23 09:45:45+08:00,2026-02-23 01:45:45+00:00,0,2,FAST,5186.91375,0,0,5186.82500,0,0,0,0,0,0,1,1,1,1,2,,,0,,,0
2026-02-23T09:46:00+08:00,5187.10000,5187.50000,5187.10000,5187.40000,5181.91284,-1,87.31000,5186.99372,5186.82500,2,1,0,0,0,0,0,5186.99964,,,,,,,5195.92181,5192.29718,5188.67255,5186.99964,5185.32673,5181.70210,5178.07746,0,0,0,0,,,9,2026-02-23 09:46:00+08:00,2026-02-23 01:46:00+00:00,0,2,FAST,5186.99964,0,0,5186.82500,0,0,0,0,0,0,1,1,1,1,3,,,0,,,0
2026-02-23T09:46:15+08:00,5187.20000,5187.20000,5186.00000,5186.45000,5182.06430,-1,87.25500,5186.97292,5186.82500,2,1,0,0,0,0,0,5186.96442,,,,,,,5195.84851,5192.23935,5188.63018,5186.96442,5185.29865,5181.68949,5178.08032,0,0,0,0,,,16,2026-02-23 09:46:15+08:00,2026-02-23 01:46:15+00:00,0,2,FAST,5186.96442,0,0,5186.82500,0,0,0,0,0,0,1,1,1,1,4,,,0,,,0
2026-02-23T09:46:30+08:00,5186.50000,5186.80000,5185.80000,5186.20000,5182.21778,-1,87.20000,5186.92036,5186.32500,3,1,0,0,0,0,0,5186.90186,,,,,,,5195.74963,5192.15522,5188.56081,5186.90186,5185.24290,5181.64849,5178.05408,0,0,0,0,,,11,2026-02-23 09:46:30+08:00,2026-02-23 01:46:30+00:00,0,3,SLOW,5186.90186,0,0,5186.32500,0,0,0,0,0,0,1,1,1,1,5,,,0,,,0
2026-02-23T09:46:45+08:00,5186.20000,5186.80000,5185.90000,5186.57500,5182.37302,1,87.25500,5186.89830,5186.32500,3,1,0,0,0,0,0,5186.90084,,,,,,,5195.71276,5192.13292,5188.55308,5186.90084,5185.24861,5181.66877,5178.08893,0,0,0,0,,,12,2026-02-23 09:46:45+08:00,2026-02-23 01:46:45+00:00,0,3,SLOW,5186.90084,0,0,5186.32500,0,0,0,0,0,0,1,1,1,1,6,,,0,,,0
2026-02-23T09:47:00+08:00,5186.30000,5186.30000,5184.50000,5185.00000,5182.52935,-1,87.19500,5186.72716,5185.32500,0,1,0,0,0,0,0,5186.69260,,,,,,,5195.48044,5191.91038,5188.34032,5186.69260,5185.04488,5181.47482,5177.90475,0,0,0,0,,,18,2026-02-23 09:47:00+08:00,2026-02-23 01:47:00+00:00,0,0,NEUTRAL,5186.69260,0,0,5185.32500,0,0,0,0,0,0,1,1,1,1,7,,,0,,,0
2026-02-23T09:47:15+08:00,5184.30000,5184.30000,5182.10000,5183.15000,5182.68311,-1,87.06000,5186.38272,5183.32500,1,1,0,0,0,0,0,5186.34342,,,,,,,5195.12319,5191.55641,5187.98963,5186.34342,5184.69721,5181.13043,5177.56365,0,0,0,0,,,42,2026-02-23 09:47:15+08:00,2026-02-23 01:47:15+00:00,0,1,IMPULSE,5186.34342,0,0,5183.32500,0,0,0,0,0,0,1,1,1,1,8,,,0,,,0
2026-02-23T09:47:30+08:00,5182.20000,5182.20000,5181.70000,5181.97500,5182.83167,1,87.07000,5185.93454,5182.32500,2,1,0,0,0,0,0,5185.89875,,,,,,,5194.66618,5191.10441,5187.54264,5185.89875,5184.25485,5180.69308,5177.13131,0,0,0,0,,,10,2026-02-23 09:47:30+08:00,2026-02-23 01:47:30+00:00,0,2,FAST,5185.89875,0,0,5182.32500,0,0,0,0,0,0,1,1,1,1,9,,,0,,,0
