stream,trade_id,side,entry_time,exit_time,entry_bar_i,exit_bar_i,entry_px,exit_px,pnl,bars_held,kern_dist_sig,state_sig
VERIFY,1,LONG,286,328,286,328,5195.62500,5185.25000,-10.37500,42,0.23498,3
VERIFY,2,LONG,380,527,380,527,5184.37500,5185.07500,0.70000,147,1.06128,2
VERIFY,3,LONG,575,1009,575,1009,5185.32500,5177.22500,-8.10000,434,0.01967,0
VERIFY,4,LONG,1286,1365,1286,1365,5155.65000,5153.42500,-2.22500,79,1.12282,3
VERIFY,5,LONG,1388,1452,1388,1452,5160.10000,5148.52500,-11.57500,64,2.28602,2
VERIFY,6,LONG,1492,1516,1492,1516,5152.65000,5147.42500,-5.22500,24,1.57405,3
VERIFY,7,LONG,1545,1847,1545,1847,5154.92500,5167.32500,12.40000,302,1.36423,3
VERIFY,8,LONG,1886,2080,1886,2080,5172.02500,5179.55000,7.52500,194,0.55129,3
VERIFY,9,SHORT,2093,2156,2093,2156,5178.87500,5173.92500,4.95000,63,0.52703,2
VERIFY,10,LONG,2192,2273,2192,2273,5173.17500,5170.27500,-2.90000,81,0.15979,2
VERIFY,11,SHORT,2280,2291,2280,2291,5169.82500,5172.40000,-2.57500,11,0.53086,3
VERIFY,12,SHORT,2382,2398,2382,2398,5169.07500,5172.92500,-3.85000,16,0.45561,2
VERIFY,13,SHORT,2466,2626,2466,2626,5181.42500,5169.55000,11.87500,160,0.54536,2
VERIFY,14,LONG,2629,2672,2629,2672,5172.35000,5169.75000,-2.60000,43,0.83695,2
